Rank,ZIP_Code_ZCTA,Zip_Code_Name,Per_capita_Income,Median_household_income,Median_family_income,Population,Number_of_households
1,02110,Financial District,152007,123795,196518,1486,981
2,02199,Prudential Center,151060,107159,146786,1290,823
3,02210,Fort Point,93078,111061,223411,1905,1088
4,02109,Financial District/North End,88921,128022,162045,4277,2190
5,02116,Back Bay/Bay Village,81458,87630,134875,21318,10938
6,02108,Beacon Hill/Financial District,78569,95753,153618,4155,2337
7,02114,Beacon Hill/West End,65865,79734,169107,11933,6752
8,02111,Chinatown/Financial/Leather District,56716,44758,88333,7616,3390
9,02129,Charlestown,56267,89105,98445,17052,8083
10,02467,Chestnut Hill,53382,113952,148396,22796,6351
11,02113,North End,52905,64413,112589,7276,4329
12,02132,West Roxbury,44306,82421,110219,27163,11013
13,02118,South End,43887,50000,49090,26779,12512
14,02130,Jamaica Plain,42916,74198,95426,36866,15306
15,02127,South Boston,42854,67012,68110,32547,14994
16,02135,Brighton,31773,50291,62602,38839,18336
17,02131,Roslindale,29486,61099,70598,30370,11282
18,02136,Hyde Park,28009,57080,74734,29219,10650
19,02134,Allston,25319,37638,49355,20478,8916
20,02128,East Boston,23450,49549,49470,41680,14965
21,02122,Dorchester-Fields Corner,23432,51798,50246,25437,8216
22,02124,Dorchester-Codman Square-Ashmont,23115,48329,55031,49867,17275
23,02125,Dorchester-Uphams Corner-Savin Hill,22158,42298,44397,31996,11481
24,02163,Allston-Harvard Business School,21915,43889,91190,1842,562
25,02115,Back Bay/Fenway-Kenmore,21654,23677,50303,29178,9958
26,02126,Mattapan,20649,43532,52774,27335,9510
27,02215,Fenway-Kenmore,19082,30823,72583,23719,7995
28,02119,Roxbury,18998,27051,35311,24237,9769
29,02121,Dorchester-Mount Baldwin,18226,30419,35439,26801,9739
30,02120,Mission Hill,17390,32367,29583,13217,4509